2025-09-18 17:57:25 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:57:25 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:57:25 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 17:57:25 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 17:57:50 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:57:50 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:57:50 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 17:57:50 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 17:58:37 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:58:37 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:58:37 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 17:58:37 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 18:05:01 | INFO | API | Valid API key used: Test API Key
2025-09-18 18:05:01 | INFO | API | Valid API key used: Test API Key
2025-09-18 18:05:01 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 18:05:01 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 18:05:26 | INFO | API | Valid API key used: Test API Key
2025-09-18 18:05:26 | INFO | API | Valid API key used: Test API Key
2025-09-18 18:05:26 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 18:05:26 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 18:06:13 | INFO | API | Valid API key used: Test API Key
2025-09-18 18:06:13 | INFO | API | Valid API key used: Test API Key
2025-09-18 18:06:13 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 18:06:13 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 18:11:58 | INFO | API | Valid API key used: Test API Key
2025-09-18 18:11:58 | INFO | API | Valid API key used: Test API Key
2025-09-18 18:11:58 | INFO | API | API: Getting campaign details for ID: 101 (API Key: Test API Key)
2025-09-18 18:11:58 | INFO | API | API: Getting campaign details for ID: 101 (API Key: Test API Key)
2025-09-18 18:21:07 | INFO | API | Valid API key used: Test API Key
2025-09-18 18:21:07 | INFO | API | Valid API key used: Test API Key
2025-09-18 18:21:07 | INFO | API | API: Getting campaign details for ID: 101 (API Key: Test API Key)
2025-09-18 18:21:07 | INFO | API | API: Getting campaign details for ID: 101 (API Key: Test API Key)
2025-09-18 18:46:17 | INFO | API | Valid API key used: Test API Key
2025-09-18 18:46:17 | INFO | API | Valid API key used: Test API Key
2025-09-18 18:46:17 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 18:46:17 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 18:46:28 | INFO | API | Valid API key used: Test API Key
2025-09-18 18:46:28 | INFO | API | Valid API key used: Test API Key
2025-09-18 18:46:28 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 18:46:28 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 18:46:28 | INFO | API | Valid API key used: Test API Key
2025-09-18 18:46:28 | INFO | API | Valid API key used: Test API Key
2025-09-18 18:46:28 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-18 18:46:28 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-18 21:20:30 | INFO | API | Valid API key used: Test API Key
2025-09-18 21:20:30 | INFO | API | Valid API key used: Test API Key
2025-09-18 21:20:30 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 21:20:30 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 21:20:30 | INFO | API | Valid API key used: Test API Key
2025-09-18 21:20:30 | INFO | API | Valid API key used: Test API Key
2025-09-18 21:20:30 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-18 21:20:30 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-18 21:20:32 | INFO | API | Valid API key used: Test API Key
2025-09-18 21:20:32 | INFO | API | Valid API key used: Test API Key
2025-09-18 21:20:32 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 21:20:32 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 21:20:32 | INFO | API | Valid API key used: Test API Key
2025-09-18 21:20:32 | INFO | API | Valid API key used: Test API Key
2025-09-18 21:20:32 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-18 21:20:32 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-18 21:20:59 | INFO | API | Valid API key used: Test API Key
2025-09-18 21:20:59 | INFO | API | Valid API key used: Test API Key
2025-09-18 21:20:59 | INFO | API | API: Fetching image for campaign 101 (API Key: Test API Key)
2025-09-18 21:20:59 | INFO | API | API: Fetching image for campaign 101 (API Key: Test API Key)
2025-09-18 22:21:58 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:21:58 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:21:58 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 22:21:58 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 22:45:32 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:45:32 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:45:32 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 22:45:32 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 22:46:38 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:46:38 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:46:38 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 22:46:38 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 22:48:38 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:48:38 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:48:38 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 22:48:38 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 22:49:23 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:49:23 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:49:23 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 22:49:23 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 22:49:23 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:49:23 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:49:23 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-18 22:49:23 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-18 22:49:33 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:49:33 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:49:33 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 22:49:33 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 22:49:33 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:49:33 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:49:33 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-18 22:49:33 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-18 22:49:39 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:49:39 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:49:39 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 22:49:39 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 22:49:39 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:49:39 | INFO | API | Valid API key used: Test API Key
2025-09-18 22:49:39 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-18 22:49:39 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-19 19:04:05 | INFO | API | Valid API key used: Test API Key
2025-09-19 19:04:05 | INFO | API | Valid API key used: Test API Key
2025-09-19 19:04:05 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-19 19:04:05 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-19 20:06:52 | INFO | API | Valid API key used: Test API Key
2025-09-19 20:06:52 | INFO | API | Valid API key used: Test API Key
2025-09-19 20:06:52 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-19 20:06:52 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-20 19:52:20 | INFO | API | Valid API key used: Test API Key
2025-09-20 19:52:20 | INFO | API | Valid API key used: Test API Key
2025-09-20 19:52:20 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-20 19:52:20 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-20 20:15:46 | INFO | API | Valid API key used: Test API Key
2025-09-20 20:15:46 | INFO | API | Valid API key used: Test API Key
2025-09-20 20:15:46 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-20 20:15:46 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-20 20:17:17 | INFO | API | Valid API key used: Test API Key
2025-09-20 20:17:17 | INFO | API | Valid API key used: Test API Key
2025-09-20 20:17:17 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-20 20:17:17 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-20 20:17:26 | INFO | API | Valid API key used: Test API Key
2025-09-20 20:17:26 | INFO | API | Valid API key used: Test API Key
2025-09-20 20:17:26 | INFO | API | API: Getting top 10 campaigns by opens (API Key: Test API Key)
2025-09-20 20:17:26 | INFO | API | API: Getting top 10 campaigns by opens (API Key: Test API Key)
2025-09-20 20:20:22 | INFO | API | Valid API key used: Test API Key
2025-09-20 20:20:22 | INFO | API | Valid API key used: Test API Key
2025-09-20 20:20:22 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-20 20:20:22 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-20 21:45:08 | INFO | API | Valid API key used: Test API Key
2025-09-20 21:45:08 | INFO | API | Valid API key used: Test API Key
2025-09-20 21:45:08 | INFO | API | API: Getting campaign details for ID: 101 (API Key: Test API Key)
2025-09-20 21:45:08 | INFO | API | API: Getting campaign details for ID: 101 (API Key: Test API Key)
2025-09-20 22:18:41 | INFO | API | Valid API key used: Test API Key
2025-09-20 22:18:41 | INFO | API | Valid API key used: Test API Key
2025-09-20 22:18:41 | INFO | API | API: Getting campaign details for ID: 101 (API Key: Test API Key)
2025-09-20 22:18:41 | INFO | API | API: Getting campaign details for ID: 101 (API Key: Test API Key)
2025-09-21 09:13:36 | INFO | API | Valid API key used: Test API Key
2025-09-21 09:13:36 | INFO | API | API: Getting campaign details for ID: 101 (API Key: Test API Key)
2025-09-21 09:20:54 | INFO | API | Valid API key used: Test API Key
2025-09-21 09:20:54 | INFO | API | API: Getting campaign details for ID: 101 (API Key: Test API Key)
2025-09-21 12:26:54 | INFO | API | Valid API key used: Test API Key
2025-09-21 12:26:54 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-21 12:50:08 | INFO | API | Valid API key used: Test API Key
2025-09-21 12:50:08 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-21 13:13:26 | INFO | API | Valid API key used: Test API Key
2025-09-21 13:13:26 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-21 13:13:34 | INFO | API | Valid API key used: Test API Key
2025-09-21 13:13:34 | INFO | API | API: Getting top 10 campaigns by opens (API Key: Test API Key)
2025-09-21 13:22:21 | INFO | API | Valid API key used: Test API Key
2025-09-21 13:22:21 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-21 13:22:21 | INFO | API | Valid API key used: Test API Key
2025-09-21 13:22:21 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-21 13:22:23 | INFO | API | Valid API key used: Test API Key
2025-09-21 13:22:23 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-21 13:22:23 | INFO | API | Valid API key used: Test API Key
2025-09-21 13:22:23 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-21 13:22:34 | INFO | API | Valid API key used: Test API Key
2025-09-21 13:22:34 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-21 13:22:34 | INFO | API | Valid API key used: Test API Key
2025-09-21 13:22:34 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-21 13:22:46 | INFO | API | Valid API key used: Test API Key
2025-09-21 13:22:46 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-21 13:22:46 | INFO | API | Valid API key used: Test API Key
2025-09-21 13:22:46 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-21 13:22:52 | INFO | API | Valid API key used: Test API Key
2025-09-21 13:22:52 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-21 13:22:52 | INFO | API | Valid API key used: Test API Key
2025-09-21 13:22:52 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-21 13:22:53 | INFO | API | Valid API key used: Test API Key
2025-09-21 13:22:53 | INFO | API | API: Getting top 10 campaigns by opens (API Key: Test API Key)
2025-09-21 13:23:43 | INFO | API | Valid API key used: Test API Key
2025-09-21 13:23:43 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-21 13:23:43 | INFO | API | Valid API key used: Test API Key
2025-09-21 13:23:43 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-21 13:24:09 | INFO | API | Valid API key used: Test API Key
2025-09-21 13:24:09 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-21 13:24:09 | INFO | API | Valid API key used: Test API Key
2025-09-21 13:24:09 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-22 10:20:56 | INFO | API | Valid API key used: Test API Key
2025-09-22 10:20:56 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-22 10:20:56 | INFO | API | Valid API key used: Test API Key
2025-09-22 10:20:56 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-22 10:21:00 | INFO | API | Valid API key used: Test API Key
2025-09-22 10:21:00 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-22 10:21:00 | INFO | API | Valid API key used: Test API Key
2025-09-22 10:21:00 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-25 05:29:04 | INFO | API | Valid API key used: Test API Key
2025-09-25 05:29:04 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-25 05:29:24 | INFO | API | Valid API key used: Test API Key
2025-09-25 05:29:24 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-25 05:29:24 | INFO | API | Valid API key used: Test API Key
2025-09-25 05:29:24 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-25 05:29:40 | INFO | API | Valid API key used: Test API Key
2025-09-25 05:29:40 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-25 05:29:40 | INFO | API | Valid API key used: Test API Key
2025-09-25 05:29:40 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-25 05:30:49 | INFO | API | Valid API key used: Test API Key
2025-09-25 05:30:49 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-25 05:30:49 | INFO | API | Valid API key used: Test API Key
2025-09-25 05:30:49 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-25 05:30:50 | INFO | API | Valid API key used: Test API Key
2025-09-25 05:30:50 | INFO | API | API: Getting top 10 campaigns by opens (API Key: Test API Key)
2025-09-25 05:31:05 | INFO | API | Valid API key used: Test API Key
2025-09-25 05:31:05 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-25 05:32:11 | INFO | API | Valid API key used: Test API Key
2025-09-25 05:32:11 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-25 05:32:11 | INFO | API | Valid API key used: Test API Key
2025-09-25 05:32:11 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-25 12:31:21 | INFO | API | Valid API key used: Test API Key
2025-09-25 12:31:21 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-26 12:17:46 | INFO | API | Valid API key used: Test API Key
2025-09-26 12:17:46 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-26 22:52:38 | INFO | API | Valid API key used: Test API Key
2025-09-26 22:52:38 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-26 23:57:45 | INFO | API | Valid API key used: Test API Key
2025-09-26 23:57:45 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-27 00:02:09 | INFO | API | Valid API key used: Test API Key
2025-09-27 00:02:09 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-27 00:05:27 | INFO | API | Valid API key used: Test API Key
2025-09-27 00:05:27 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-27 00:10:36 | INFO | API | Valid API key used: Test API Key
2025-09-27 00:10:36 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-27 01:56:26 | INFO | API | Valid API key used: Test API Key
2025-09-27 01:56:26 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-27 01:56:26 | INFO | API | Valid API key used: Test API Key
2025-09-27 01:56:26 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-27 01:56:28 | INFO | API | Valid API key used: Test API Key
2025-09-27 01:56:28 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-27 01:56:28 | INFO | API | Valid API key used: Test API Key
2025-09-27 01:56:28 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-27 23:11:46 | INFO | API | Valid API key used: Test API Key
2025-09-27 23:11:46 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-27 23:30:40 | INFO | API | Valid API key used: Test API Key
2025-09-27 23:30:40 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-28 03:24:50 | INFO | API | Valid API key used: Test API Key
2025-09-28 03:24:50 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-28 04:12:25 | INFO | API | Valid API key used: Test API Key
2025-09-28 04:12:25 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
